RVA,label,comment
0009E428,GetCurrentThread_0,GetCurrentThread_0
0009E42E,SetEvent,SetEvent
0009E434,GetCurrentProcessId,GetCurrentProcessId
0009E43A,GetFileType,GetFileType
0009E440,SetFilePointer_0,SetFilePointer_0
0009E446,CreateFileA_0,CreateFileA_0
0009E44C,RtlUnwind,RtlUnwind
0009E45E,VirtualFree,VirtualFree
0009E464,TlsFree,TlsFree
0009E46A,TlsSetValue,TlsSetValue
0009E470,TlsAlloc,TlsAlloc
0009E476,TlsGetValue,TlsGetValue
0009E47C,ReleaseMutex,ReleaseMutex
0009E482,WaitForSingleObject,WaitForSingleObject
0009E488,CreateMutexA,CreateMutexA
0009E48E,GetCurrentThreadId,GetCurrentThreadId
0009E494,CloseHandle_0,CloseHandle_0
0009E49A,GetStdHandle,GetStdHandle
0009E4A0,SetStdHandle,SetStdHandle
0009E4A6,GetProcAddress,GetProcAddress
0009E4AC,LoadLibraryA,LoadLibraryA
0009E4B2,GetActiveWindow,GetActiveWindow
0009E4B8,wsprintfA,wsprintfA
0009E4BE,SetConsoleCtrlHandler,SetConsoleCtrlHandler
0009E4C4,WriteFile_0,WriteFile_0
0009E4CA,LocalFileTimeToFileTime,LocalFileTimeToFileTime
0009E4D0,DosDateTimeToFileTime,DosDateTimeToFileTime
0009E4D6,FileTimeToDosDateTime,FileTimeToDosDateTime
0009E4DC,FileTimeToLocalFileTime,FileTimeToLocalFileTime
0009E4E2,GetLastError_0,GetLastError_0
0009E4E8,VirtualAlloc,VirtualAlloc
0009E4EE,GetTimeZoneInformation,GetTimeZoneInformation
0009E4F4,GetLocalTime_0,GetLocalTime_0
0009E4FA,GetCPInfo,GetCPInfo
0009E500,GetModuleHandleA,GetModuleHandleA
0009E506,GetVersion,GetVersion
0009E50C,GetCommandLineA,GetCommandLineA
0009E512,GetModuleFileNameA_0,GetModuleFileNameA_0
0009E518,GetEnvironmentStrings,GetEnvironmentStrings
0009E51E,ExitProcess_0,ExitProcess_0
0009E524,timeKillEvent,timeKillEvent
0009E52A,timeSetEvent,timeSetEvent
0009E530,SetCurrentDirectoryA,SetCurrentDirectoryA
0009E536,DeleteFileA_0,DeleteFileA_0
